jockey_id,place_count,total_count,jockey_show_rate,jockey_win_rate,jockey_race_count,jockey_lcb95
422,191,1135,0.1690017513134851,0.04405286343612335,1135,0.1511035375933979
641,45,288,0.15932203389830507,0.041666666666666664,288,0.12568787788524244
652,4,21,0.21428571428571427,0.047619047619047616,21,0.10148495300353262
660,212,725,0.2923497267759563,0.0993103448275862,725,0.26503998666331463
666,402,1105,0.36330935251798563,0.1330316742081448,1105,0.33973568165539875
684,55,328,0.1701492537313433,0.042682926829268296,328,0.13758089141562815
689,60,668,0.09185185185185185,0.017964071856287425,668,0.07429168203125003
691,28,97,0.28846153846153844,0.10309278350515463,97,0.21808573984634486
726,11,232,0.05439330543933055,0.004310344827586207,232,0.03260792896382455
727,14,63,0.22857142857142856,0.06349206349206349,63,0.15119141262906324
732,365,1678,0.2178041543026706,0.06555423122765197,1678,0.2014616638507702
733,146,816,0.1798298906439854,0.04656862745098039,816,0.1582730696190409
894,10,152,0.07547169811320754,0.013157894736842105,152,0.044406355605987144
1005,25,73,0.3375,0.136986301369863,73,0.253391856563798
1009,113,908,0.12568306010928962,0.022026431718061675,908,0.10814312256724477
1010,0,11,0.1111111111111111,0.0,11,0.021317626921521112
1014,297,715,0.41412742382271467,0.16643356643356644,715,0.38412840776863627
1015,132,764,0.17380025940337224,0.04319371727748691,764,0.15185676768164869
1018,395,1749,0.22608200455580865,0.05317324185248713,1749,0.20984636099561169
1019,98,518,0.19047619047619047,0.06177606177606178,518,0.16299666203790314
1023,15,77,0.20238095238095238,0.03896103896103896,77,0.13491307792401636
1025,86,579,0.15017064846416384,0.04317789291882556,579,0.12661265777643851
1029,44,432,0.10478359908883828,0.011574074074074073,432,0.08183045464703825
1030,75,537,0.14154411764705882,0.0297951582867784,537,0.11775292067870198
1032,225,845,0.2664319248826291,0.08994082840236686,845,0.24184746953875225
1034,112,831,0.1360381861575179,0.03730445246690734,831,0.11707486710687005
1035,10,48,0.21818181818181817,0.041666666666666664,48,0.13352815941876897
1036,3,36,0.11627906976744186,0.0,36,0.04809943351948533
1037,61,400,0.1547911547911548,0.03,400,0.12632799490972185
1043,156,742,0.2109479305740988,0.0646900269541779,742,0.1868884205760249
1046,16,51,0.3103448275862069,0.13725490196078433,51,0.21504971663200906
1052,6,43,0.16,0.046511627906976744,43,0.08391963215786906
1059,62,179,0.34408602150537637,0.16201117318435754,179,0.2878926717593205
1061,3,109,0.04310344827586207,0.009174311926605505,109,0.017285625389619415
1062,16,160,0.10778443113772455,0.0375,160,0.07126638378396455
1063,20,56,0.3492063492063492,0.10714285714285714,56,0.2539045860733466
1066,52,160,0.32335329341317365,0.1,160,0.2651988866286776
1067,40,122,0.32558139534883723,0.13934426229508196,122,0.25952220525405323
1068,29,138,0.21379310344827587,0.06521739130434782,138,0.16029572401175604
1069,61,197,0.3088235294117647,0.1116751269035533,197,0.2568181701409146
1072,24,127,0.19402985074626866,0.11023622047244094,127,0.1407408525104445
1075,361,1106,0.3261455525606469,0.1166365280289331,1106,0.3032198153365906
1077,209,924,0.22663802363050484,0.06493506493506493,924,0.20441841706392241
1082,0,13,0.1,0.0,13,0.019033120121624
1085,151,861,0.17626728110599077,0.04645760743321719,861,0.15543656005202458
1087,42,177,0.2391304347826087,0.03954802259887006,177,0.18919262983729065
1088,618,1047,0.5882352941176471,0.2808022922636103,1047,0.5632156464567102
1091,422,1666,0.2534369396294083,0.0702280912364946,1666,0.2361182976591865
