father,sire_show_rate,sire_lcb95,sire_show_rate_turf,sire_show_rate_dirt
ニホンピロアワーズ,0.14084507042253522,0.07960271466095548,0.1875,0.14516129032258066
ニューイヤーズデイ,0.35526315789473684,0.29269570126915734,0.32786885245901637,0.3673469387755102
ネオユニヴァース,0.10638297872340426,0.07201385106526424,0.13513513513513514,0.09803921568627451
ネオヴァンドーム,0.16666666666666666,0.033319217684229845,0.16666666666666666,0.25
ネロ,0.20422535211267606,0.15122226000403863,0.3103448275862069,0.14285714285714285
ノボジャック,0.3157894736842105,0.1989850268815682,0.25,0.32432432432432434
ノヴェリスト,0.1843137254901961,0.15681802884311744,0.21639344262295082,0.1
ノーザンリバー,0.15789473684210525,0.04702488429256185,0.25,0.16666666666666666
ハイアーゲーム,0.2,0.041023167506996534,0.2,0.2
ハギノハイブリッド,0.08333333333333333,0.015674071195156656,0.09523809523809523,0.2
ハクサンムーン,0.18018018018018017,0.12387192086978964,0.21621621621621623,0.1728395061728395
ハタノヴァンクール,0.09523809523809523,0.018065203085418632,0.2222222222222222,0.1111111111111111
ハーツクライ,0.2508889766890557,0.2368300923357294,0.24301841948900774,0.25166444740346205
ハードスパン,0.15384615384615385,0.030460165659137187,0.2,0.2222222222222222
ハービンジャー,0.2466983623877443,0.23055818890770485,0.2526385224274406,0.20175438596491227
バゴ,0.16226415094339622,0.13668793625186804,0.17058823529411765,0.143646408839779
バトルプラン,0.12550607287449392,0.09270406575317591,0.14285714285714285,0.10828025477707007
バンデ,0.2,0.041023167506996534,0.25,0.2222222222222222
バンドワゴン,0.2553191489361702,0.1579621504621581,0.17647058823529413,0.2972972972972973
バンブーエール,0.1111111111111111,0.045858884168659866,0.2222222222222222,0.11627906976744186
バーディバーディ,0.2413793103448276,0.1236687094841518,0.2413793103448276,0.2413793103448276
パイロ,0.2563817980022198,0.23277792847223128,0.14864864864864866,0.2679012345679012
パドトロワ,0.11392405063291139,0.07542649197214688,0.07272727272727272,0.1188118811881188
ヒルノダムール,0.07142857142857142,0.013322991488137013,0.08695652173913043,0.16666666666666666
ビッグアーサー,0.21672167216721672,0.1946144650635802,0.25868725868725867,0.16030534351145037
ビーチパトロール,0.13033175355450238,0.10443525482587433,0.1450980392156863,0.11242603550295859
ファインニードル,0.22507122507122507,0.18936299979876942,0.2753623188405797,0.15894039735099338
ファスリエフ,0.16666666666666666,0.033319217684229845,0.16666666666666666,0.18181818181818182
フェノーメノ,0.1918238993710692,0.1566915624052481,0.14953271028037382,0.2037037037037037
フサイチセブン,0.12307692307692308,0.06374454754253912,0.25,0.125
フリオーソ,0.1679790026246719,0.13753359865189524,0.09523809523809523,0.17696629213483145
フレンチデピュティ,0.19444444444444445,0.09782836842691164,0.45454545454545453,0.14285714285714285
ブラックタイド,0.21179883945841393,0.19122925626353096,0.1984732824427481,0.22528735632183908
ブラックタキシード,0.25,0.05337550047023718,0.25,0.25
ブリックスアンドモルタル,0.2777777777777778,0.22165318007063703,0.24603174603174602,0.37209302325581395
ブレイクランアウト,0.1111111111111111,0.021317626921521112,0.13333333333333333,0.2
プリサイスエンド,0.22613065326633167,0.17907664075956345,0.1,0.24193548387096775
ヘニーハウンド,0.2647058823529412,0.18139479034468153,0.2222222222222222,0.2727272727272727
ヘニーヒューズ,0.2802653399668325,0.2630395176547109,0.1391304347826087,0.2908554572271386
ヘンリーバローズ,0.16666666666666666,0.04989815455742298,0.21428571428571427,0.18181818181818182
ベストウォーリア,0.12972972972972974,0.09159517363788071,0.06666666666666667,0.14814814814814814
ベルシャザール,0.17343173431734318,0.13708191437655756,0.25,0.15196078431372548
ベーカバド,0.18532818532818532,0.14711137542431374,0.22784810126582278,0.12048192771084337
ペルーサ,0.06666666666666667,0.012393531326131366,0.13333333333333333,0.09090909090909091
ホッコータルマエ,0.22279348757497858,0.20303862073541984,0.14925373134328357,0.2288372093023256
ホワイトマズル,0.16666666666666666,0.04989815455742298,0.16666666666666666,0.2222222222222222
ホークビル,0.0625,0.021976162548108188,0.041666666666666664,0.17391304347826086
ポアゾンブラック,0.19230769230769232,0.08229089986124646,0.2222222222222222,0.20833333333333334
