jockey_id,place_count,total_count,jockey_show_rate,jockey_win_rate,jockey_race_count,jockey_lcb95
409,0,12,0.10526315789473684,0.0,12,0.020110675876131676
422,1565,7323,0.21377899045020463,0.07018981291820292,7323,0.20594765730942183
629,76,588,0.13109243697478992,0.030612244897959183,588,0.10907728467460218
635,0,4,0.18181818181818182,0.0,4,0.03677143788746509
641,630,3478,0.1813486370157819,0.05261644623346751,3478,0.17071917885908325
652,179,837,0.21445497630331753,0.07646356033452807,837,0.19161937216543454
655,48,175,0.27472527472527475,0.11428571428571428,175,0.22187609368859068
660,1181,4041,0.2922430830039526,0.10591437762929967,4041,0.2805453061806495
663,703,2890,0.2433551950293407,0.08200692041522491,2890,0.2303451211009408
666,2304,6081,0.3787779237844941,0.14356191415885544,6081,0.36857533411008814
684,519,3201,0.1624064837905237,0.0471727585129647,3201,0.15181795007232324
689,508,4834,0.10535013426977897,0.031237070748862224,4834,0.09818687199581443
691,167,556,0.30017761989342806,0.09352517985611511,556,0.26883787850222457
695,57,283,0.20344827586206896,0.06007067137809187,283,0.16582129869365742
700,421,1591,0.2647058823529412,0.07668133249528598,1591,0.24672662048099517
705,46,314,0.14953271028037382,0.05732484076433121,314,0.11812629477859767
711,37,115,0.319672131147541,0.09565217391304348,115,0.2521955979195788
715,0,3,0.2,0.0,3,0.041023167506996534
722,37,471,0.08158995815899582,0.021231422505307854,471,0.06205712341688777
726,101,1533,0.06688311688311688,0.020221787345075015,1533,0.056744397476836385
727,156,572,0.27288428324697755,0.08916083916083917,572,0.2429101933776759
732,1986,8816,0.22532018587781932,0.06862522686025409,8816,0.21803999949706113
733,851,4680,0.18199274589289524,0.0532051282051282,4680,0.17280126188057476
815,3,26,0.15151515151515152,0.0,26,0.06365273175135745
817,1,8,0.2,0.0,8,0.06110292885897761
837,1,8,0.2,0.0,8,0.06110292885897761
843,1,3,0.3,0.0,3,0.09774681343927576
856,0,4,0.18181818181818182,0.0,4,0.03677143788746509
875,14,29,0.4444444444444444,0.3103448275862069,29,0.31165320070533753
878,0,7,0.14285714285714285,0.0,7,0.02805337732017585
894,501,2896,0.173269032035825,0.05593922651933702,2896,0.16184576161164443
1004,146,1571,0.09378960709759189,0.025461489497135583,1571,0.08202104536083901
1005,140,437,0.31981981981981983,0.10983981693363844,437,0.28391428229508303
1008,91,429,0.21330275229357798,0.05827505827505827,429,0.18183096575089697
1009,1037,6367,0.16300596171948542,0.04099261818752945,6367,0.1554570719834963
